Season,Points,Yards,Plays,YardsPlay,TO,Fumbles,FirstDowns,Comp,PassAtt,PassYards,PassTD,Int,NetPassYards,PassFirstDowns,RushAtt,RushYards,RushTD,RushYardsAtt,RushFirstDowns,Penalties,PenaltyYards,PenaltyYards,CompPerc,PassTDPerc,PassIntPerc,PassYardComp,PassRate,Sacked,SackYards,SackPerc,Comeback,GameWin,PuntRet,PuntRetYards,PuntRetYards,PuntRetAvg,KickRet,KickRetYards,KickRetTD,KickRetYards,FGA,FGM,FGLong,FGPerc,XPA,XPM,XP%,Punts,PuntYards,PuntBlock,PuntYardsAvg
1970,19.25714286,281.7714286,60.71428571,0.328571429,2.428571429,1.021428571,15.79285714,13.75714286,26.91428571,161.3857143,1.171428571,1.4,0.392857143,8.164285714,31.40714286,120.3857143,0.807142857,0.271428571,6.285714286,5.707142857,59.92142857,1.342857143,3.65,0.314285714,0.371428571,0.942857143,4.685714286,2.392857143,19.66428571,0.585714286,0.092857143,0.092857143,2.692857143,19.78571429,0.021428571,0.528571429,3.514285714,77.57142857,0.042857143,1.578571429,2.214285714,1.314285714,3.5,0.042142857,2.178571429,2.121428571,0.069285714,5.221428571,214.0857143,0.042857143,2.928571429
1971,19.36428571,285.85,60.32142857,0.335714286,2.607142857,1.114285714,16.18571429,13.15714286,25.85714286,155.7214286,1.071428571,1.492857143,0.4,7.864285714,32.35,130.1285714,0.914285714,0.285714286,7.071428571,5.414285714,53.65,1.25,3.635714286,0.292857143,0.414285714,0.942857143,4.442857143,2.107142857,18.05,0.535714286,0.114285714,0.121428571,2.35,16.50714286,0.007142857,0.5,3.664285714,84.32142857,0.021428571,1.642857143,2.192857143,1.285714286,3.335714286,0.042142857,2.2,2.157142857,0.07,4.785714286,195.1785714,0.035714286,2.914285714
1972,20.25,291.4285714,60.51428571,0.342857143,2.342857143,1.021428571,16.75714286,12.8,24.75714286,152.0714286,1.107142857,1.321428571,0.407142857,7.75,33.67142857,139.35,1,0.292857143,7.692857143,5.1,47.37142857,1.314285714,3.692857143,0.321428571,0.378571429,0.942857143,4.735714286,2.092857143,16.67857143,0.557142857,0.121428571,0.128571429,2.035714286,14.55,0.014285714,0.507142857,3.528571429,81.35714286,0.014285714,1.65,2.242857143,1.371428571,3.457142857,0.043571429,2.285714286,2.228571429,0.07,4.421428571,180.8857143,0.05,2.921428571
1973,19.45,285.3071429,62.2,0.328571429,2.435714286,1.142857143,16.57142857,12.64285714,24.3,140.9285714,1.035714286,1.292857143,0.378571429,7.435714286,35.53571429,144.3785714,0.907142857,0.292857143,7.942857143,5.071428571,47.45,1.2,3.714285714,0.307142857,0.378571429,0.9,4.635714286,2.364285714,18.43571429,0.635714286,0.085714286,0.085714286,2.464285714,19.94285714,0.014285714,0.578571429,3.471428571,78,0.028571429,1.607142857,2.364285714,1.492857143,3.342857143,0.045,2.121428571,2.071428571,0.07,4.857142857,199.0714286,0.05,2.928571429
1974,18.17857143,286.5428571,63.00714286,0.321428571,2.335714286,0.964285714,17.06428571,13.85,26.4,153.2428571,1.035714286,1.371428571,0.378571429,8.107142857,34.35714286,133.3,1,0.278571429,7.65,5.45,47.04285714,1.307142857,3.75,0.278571429,0.371428571,0.885714286,4.585714286,2.25,18.15714286,0.564285714,0.114285714,0.142857143,3.321428571,32.53571429,0.021428571,0.7,3.821428571,84.65,0.014285714,1.585714286,1.521428571,0.921428571,3.278571429,0.043571429,2.185714286,2.014285714,0.065714286,5.471428571,213.4214286,0.042857143,2.785714286
1975,20.59285714,308.2857143,66.15,0.335714286,2.607142857,1.142857143,18.37142857,14.37142857,27.4,162.7928571,1.192857143,1.464285714,0.385714286,8.728571429,36.26428571,145.4928571,1.135714286,0.285714286,8.178571429,6.071428571,52.00714286,1.464285714,3.75,0.307142857,0.378571429,0.907142857,4.7,2.492857143,20.16428571,0.592857143,0.107142857,0.157142857,3.014285714,27.52857143,0.021428571,0.65,4.042857143,90.64285714,0.021428571,1.6,1.578571429,1.014285714,3.364285714,0.045714286,2.507142857,2.292857143,0.065,5.4,213.8857143,0.071428571,2.828571429
1976,19.15,302.7071429,65.67857143,0.328571429,2.514285714,1.242857143,17.66428571,13.65,26.17142857,152.0285714,1.1,1.271428571,0.378571429,8.128571429,36.89285714,150.6714286,1.057142857,0.292857143,8.142857143,6.607142857,56.45,1.392857143,3.728571429,0.3,0.342857143,0.907142857,4.785714286,2.614285714,21.41428571,0.65,0.092857143,0.135714286,3.228571429,29.16428571,0.035714286,0.642857143,3.892857143,83.52857143,0.007142857,1.528571429,1.714285714,1.021428571,3.414285714,0.042857143,2.292857143,2.078571429,0.065,5.778571429,225.9285714,0.071428571,2.792857143
1977,17.17857143,285.7642857,64.77142857,0.314285714,2.542857143,1.107142857,16.88571429,12.81428571,24.96428571,141.8857143,0.992857143,1.435714286,0.371428571,7.671428571,37.37142857,143.8785714,0.9,0.271428571,7.885714286,6.485714286,55.60714286,1.328571429,3.664285714,0.285714286,0.407142857,0.907142857,4.371428571,2.435714286,20.34285714,0.635714286,0.085714286,0.114285714,3.178571429,28.06428571,0.028571429,0.628571429,3.507142857,74.99285714,0.028571429,1.528571429,1.578571429,0.921428571,3.278571429,0.041428571,2.057142857,1.892857143,0.065714286,5.785714286,225.2214286,0.078571429,2.778571429
1978,18.33125,300.6625,64.5625,0.29375,2.5375,1.1125,17.65,14.0125,26.40625,158.8375,1.04375,1.425,0.34375,8.30625,35.88125,141.83125,1.0125,0.25,7.73125,6.71875,57.725,1.6125,3.31875,0.25,0.3375,0.79375,4.0625,2.28125,18.75,0.49375,0.10625,0.15,2.9875,25.05,0.01875,0.525,3.64375,77.9375,0.01875,1.3375,1.5125,0.95625,2.925,0.039375,2.19375,2.0375,0.058125,5.4875,214.03125,0.05625,2.4375
1979,20.0625,315.94375,65.21875,0.3,2.39375,1.05625,18.4625,15.675,28.96875,180.375,1.2,1.33125,0.3625,9.2625,33.89375,135.5625,1.0875,0.25,7.66875,6.40625,54.41875,1.53125,3.38125,0.25625,0.2875,0.79375,4.4,2.3625,18.6625,0.46875,0.1125,0.14375,2.7125,20.75625,0.0125,0.48125,3.975,80.6,0.0125,1.26875,1.60625,1.0125,2.9875,0.039375,2.425,2.2125,0.056875,5.1875,206.1875,0.05625,2.4875
1980,20.4875,323.4875,65,0.3125,2.31875,0.91875,19.0375,17.1875,30.59375,195.95625,1.35,1.4,0.375,10.1125,32.10625,127.53125,0.9625,0.25,7.46875,6.2125,53.175,1.45625,3.5125,0.275,0.2875,0.78125,4.60625,2.3,18.1875,0.4375,0.1125,0.15625,2.7125,22.4875,0.01875,0.51875,3.9375,78.44375,0.01875,1.24375,1.68125,1.06875,3.03125,0.04,2.45,2.325,0.059375,4.85,196.86875,0.0375,2.5375
1981,20.675,334.5,66.3125,0.3125,2.49375,1.13125,19.4,17.2875,31.65,204.3625,1.31875,1.3625,0.375,10.2125,32.38125,130.14375,0.9875,0.25,7.6125,6.43125,54.21875,1.58125,3.4125,0.2625,0.26875,0.80625,4.55625,2.28125,18.23125,0.41875,0.10625,0.13125,2.725,23.30625,0.025,0.5375,3.8125,77.4125,0.0125,1.26875,1.76875,1.1625,3.04375,0.04125,2.44375,2.325,0.059375,5,205.65,0.01875,2.56875
